"time","ABIEBALS","ACERPENS","ACERRUBR","ACERSACC","BETUALLE","BETULENT","BETUPAPY","FAGUGRAN","FRAXAMER","PICERUBE","PINUSTRO","POPUTREM","PRUNPENS","PRUNSERO","QUERALBA","QUERRUBR","TILIAMER","TSUGCANA","woody","TotalBiomass","NA","NA","NA","NA","NA"
0,0.000722292998144393,0.000345238159507459,0.0186076993138127,0.709606934734853,0.130984528907264,0.0019610545626765,0.00099618636517029,0.0889002411122315,0.0348606204604168,0.000479728089827099,0.000938499382753543,0.000227727488711626,8.70952880148224e-05,0.00430459133947111,0,0.00437922001350283,7.78752327942313e-07,0.00208375151244936,0.243328033859454,NA,NA,NA,NA,NA,NA
5,0.000779686606991882,0.000276445366235365,0.0181175310059445,0.711883411966253,0.130719602287715,0.00197072571669404,0.000892897194284305,0.0869762172622877,0.0346422032753086,0.000520466740714345,0.000959249523566317,0.000220828537888705,1.1892224625342e-05,0.00521124684394202,1.27901370877837e-06,0.00432113881723141,9.36996773915518e-07,0.00201852188683419,0.265806125684117,NA,NA,NA,NA,NA,NA
10,0.000822434938421373,0.000235007125295287,0.0161458222264957,0.714661980694246,0.131298388263895,0.00198118408594262,0.000843124634135368,0.086110641733673,0.0340423752147817,0.000543231504308778,0.000981662939162106,0.000220446795479402,1.11138051856497e-05,0.00545576194842155,1.96381296339154e-06,0.004264485012174,3.41948915287088e-06,0.00196096314170964,0.299410571646405,NA,NA,NA,NA,NA,NA
15,0.000859306489327458,0.000215386474854108,0.0134614924106662,0.715556707757195,0.130721688817362,0.00197279590088418,0.00364092357971667,0.0832126098203445,0.033301001216245,0.000633929826082617,0.0009878758830609,0.000612750118064294,1.13032385789272e-05,0.0082031504151477,2.27457890654061e-06,0.00415946165650919,5.42968412292134e-06,0.00189149260704488,0.313688558518822,NA,NA,NA,NA,NA,NA
20,0.000883825377356854,0.000210965392987903,0.0112399577626086,0.719835732815425,0.13106356495017,0.00199043090732409,0.00305351467082123,0.0811010436468814,0.032725355814299,0.000660774316829045,0.00100851903218486,0.000594634960707923,1.1442226827338e-05,0.00845049340998264,2.34486054661095e-06,0.00410353323522716,5.34929871803772e-06,0.00185226944468906,0.336143707905215,NA,NA,NA,NA,NA,NA
25,0.000945351290277478,0.000233937128429936,0.00963279054328223,0.723924369922994,0.130018560867385,0.00200326239716524,0.00251419899743781,0.0791078867470983,0.0318962065682759,0.000691089047868689,0.00104508141292595,0.000576764216490593,1.17018525869772e-05,0.0104438771327061,2.2327860241149e-06,0.00398495909935049,6.38373223405614e-06,0.00182246226397389,0.352062062539811,NA,NA,NA,NA,NA,NA
30,0.00101850839714998,0.000278955026181356,0.00817275791265725,0.728837765950945,0.128969171619994,0.00203553956609887,0.00173177202209298,0.0777365750263094,0.0313602135307438,0.00072835858867849,0.00108873493011044,0.000554346048250582,1.3508708216746e-05,0.0105770456312052,2.80489816375366e-06,0.00389435789252308,7.03099889967274e-06,0.00194622374247799,0.379433025720215,NA,NA,NA,NA,NA,NA
35,0.0010941766375447,0.000258139596672067,0.00671098571607613,0.734721580759854,0.127657392724508,0.00206015507833234,0.000997718317150228,0.07573073646003,0.0305833076798782,0.000773351878728696,0.00112656064691824,0.000491346857265407,1.2005610438673e-05,0.0112104491380622,3.52878015841857e-06,0.00372396894868932,7.22849608249457e-06,0.00195357704638942,0.40162282090983,NA,NA,NA,NA,NA,NA
40,0.00119089204351926,0.000218268751759276,0.00510359862105019,0.740675160108877,0.126269917308534,0.00208174540282204,0.000602064219639997,0.0737036109600662,0.0294017959741791,0.000802766081610161,0.00116488429741284,0.00039355712715548,1.03008048540834e-05,0.0122464660930807,3.9829924572639e-06,0.00346664609338128,7.10200085933331e-06,0.0019528727800179,0.415427580945215,NA,NA,NA,NA,NA,NA
45,0.00128135092469625,0.000169144711749218,0.00381296745264845,0.747227206434477,0.124581311585689,0.00211102960773266,0.000566968599147993,0.071791790755444,0.0281594413058277,0.000846967148307157,0.00121172182814431,0.000285773793116538,1.25335183218413e-05,0.0120862026215759,4.7731302517816e-06,0.00323923388106614,6.874401969863e-06,0.00206486785291814,0.45208003770518,NA,NA,NA,NA,NA,NA
