"class","npixels","year","areaHa","scenario","rep"
"0",5395484,2010,485593.56,"Current","Rep1"
"1",1669074,2010,150216.66,"Current","Rep1"
"2",174947,2010,15745.23,"Current","Rep1"
"3",567384,2010,51064.56,"Current","Rep1"
"4",114291,2010,10286.19,"Current","Rep1"
"5",102481,2010,9223.29,"Current","Rep1"
"6",251568,2010,22641.12,"Current","Rep1"
"7",66145,2010,5953.05,"Current","Rep1"
"8",151658,2010,13649.22,"Current","Rep1"
"9",360241,2010,32421.69,"Current","Rep1"
"10",42883,2010,3859.47,"Current","Rep1"
"11",338556,2010,30470.04,"Current","Rep1"
"12",279792,2010,25181.28,"Current","Rep1"
"13",5500,2010,495,"Current","Rep1"
"0",5395484,2011,485593.56,"Current","Rep1"
"1",1674997,2011,150749.73,"Current","Rep1"
"2",173577,2011,15621.93,"Current","Rep1"
"3",568884,2011,51199.56,"Current","Rep1"
"4",111430,2011,10028.7,"Current","Rep1"
"5",102185,2011,9196.65,"Current","Rep1"
"6",253486,2011,22813.74,"Current","Rep1"
"7",66156,2011,5954.04,"Current","Rep1"
"8",151560,2011,13640.4,"Current","Rep1"
"9",357302,2011,32157.18,"Current","Rep1"
"10",42630,2011,3836.7,"Current","Rep1"
"11",336982,2011,30328.38,"Current","Rep1"
"12",279831,2011,25184.79,"Current","Rep1"
"13",5500,2011,495,"Current","Rep1"
"0",5395484,2012,485593.56,"Current","Rep1"
"1",1676282,2012,150865.38,"Current","Rep1"
"2",173347,2012,15601.23,"Current","Rep1"
"3",569474,2012,51252.66,"Current","Rep1"
"4",109028,2012,9812.52,"Current","Rep1"
"5",102236,2012,9201.24,"Current","Rep1"
"6",255217,2012,22969.53,"Current","Rep1"
"7",66164,2012,5954.76,"Current","Rep1"
"8",152950,2012,13765.5,"Current","Rep1"
"9",355628,2012,32006.52,"Current","Rep1"
"10",42307,2012,3807.63,"Current","Rep1"
"11",336535,2012,30288.15,"Current","Rep1"
"12",279852,2012,25186.68,"Current","Rep1"
"13",5500,2012,495,"Current","Rep1"
"0",5395484,2013,485593.56,"Current","Rep1"
"1",1678542,2013,151068.78,"Current","Rep1"
"2",172381,2013,15514.29,"Current","Rep1"
"3",569118,2013,51220.62,"Current","Rep1"
