Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
5, 36, 888, 155, 143, 18, 2, 
5, 50, 1047, 149, 131, 8, 2, 
5, 85, 921, 39, 38, 15, 3, 
5, 98, 1031, 16, 16, 73, 5, 
5, 99, 992, 14, 14, 25, 3, 
5, 139, 1115, 3, 0, 0, 0, 
5, 161, 953, 65, 64, 112, 3, 
5, 161, 1000, 2, 2, 2, 1, 
5, 172, 899, 160, 0, 0, 0, 
5, 177, 1184, 2, 0, 0, 0, 
5, 221, 716, 60, 60, 27, 1.73, 
5, 225, 1081, 63, 63, 25, 1.97, 
5, 226, 495, 19, 18, 23, 2.89, 
5, 233, 1028, 41, 0, 0, 0, 
5, 237, 690, 48, 35, 3, 1, 
5, 240, 676, 30, 30, 118, 5, 
5, 247, 722, 83, 77, 65, 3, 
5, 267, 1233, 68, 68, 37, 1.93, 
5, 297, 624, 17, 17, 77, 4, 
5, 303, 1139, 19, 19, 112, 5, 
5, 304, 547, 23, 22, 10, 2, 
5, 321, 848, 92, 92, 29, 3, 
5, 327, 904, 49, 0, 0, 0, 
5, 337, 661, 5, 0, 0, 0, 
5, 344, 755, 2, 2, 5, 2, 
5, 380, 931, 180, 109, 21, 1.88, 
5, 381, 843, 43, 43, 25, 1.95, 
5, 395, 652, 15, 0, 0, 0, 
5, 402, 1055, 3, 0, 0, 0, 
5, 405, 1381, 23, 13, 3, 2.38, 
5, 415, 629, 157, 109, 8, 2, 
5, 416, 709, 67, 0, 0, 0, 
5, 425, 508, 106, 106, 95, 3, 
5, 435, 1034, 109, 77, 13, 1.36, 
5, 436, 1228, 41, 41, 181, 4, 
5, 447, 556, 75, 69, 33, 2, 
5, 447, 985, 201, 201, 179, 3, 
5, 452, 603, 40, 40, 39, 3, 
5, 455, 1185, 102, 102, 71, 2.95, 
5, 458, 1443, 99, 98, 45, 2, 
5, 462, 958, 155, 150, 9, 3, 
5, 462, 1412, 30, 30, 32, 2.93, 
5, 464, 990, 19, 16, 4, 2, 
5, 466, 1152, 105, 103, 21, 1.6, 
5, 498, 1094, 85, 81, 29, 2, 
5, 512, 796, 65, 64, 61, 2.97, 
5, 519, 932, 87, 83, 15, 1.96, 
5, 524, 1054, 106, 106, 461, 4.98, 
5, 526, 1215, 16, 0, 0, 0, 
