"class","npixels","year","areaHa","scenario","rep"
"0",698920,2010,62902.8,"Current","Rep4"
"1",954711,2010,85923.99,"Current","Rep4"
"2",99277,2010,8934.93,"Current","Rep4"
"3",415192,2010,37367.28,"Current","Rep4"
"4",98505,2010,8865.45,"Current","Rep4"
"5",85590,2010,7703.1,"Current","Rep4"
"6",137045,2010,12334.05,"Current","Rep4"
"7",6378,2010,574.02,"Current","Rep4"
"8",6018,2010,541.62,"Current","Rep4"
"9",151504,2010,13635.36,"Current","Rep4"
"10",10343,2010,930.87,"Current","Rep4"
"11",144996,2010,13049.64,"Current","Rep4"
"12",44018,2010,3961.62,"Current","Rep4"
"13",736,2010,66.24,"Current","Rep4"
"0",698920,2011,62902.8,"Current","Rep4"
"1",958523,2011,86267.07,"Current","Rep4"
"2",97899,2011,8810.91,"Current","Rep4"
"3",419494,2011,37754.46,"Current","Rep4"
"4",95981,2011,8638.29,"Current","Rep4"
"5",85314,2011,7678.26,"Current","Rep4"
"6",137440,2011,12369.6,"Current","Rep4"
"7",6378,2011,574.02,"Current","Rep4"
"8",6018,2011,541.62,"Current","Rep4"
"9",148946,2011,13405.14,"Current","Rep4"
"10",10336,2011,930.24,"Current","Rep4"
"11",143230,2011,12890.7,"Current","Rep4"
"12",44018,2011,3961.62,"Current","Rep4"
"13",736,2011,66.24,"Current","Rep4"
"0",698920,2012,62902.8,"Current","Rep4"
"1",959627,2012,86366.43,"Current","Rep4"
"2",97505,2012,8775.45,"Current","Rep4"
"3",420979,2012,37888.11,"Current","Rep4"
"4",95191,2012,8567.19,"Current","Rep4"
"5",85341,2012,7680.69,"Current","Rep4"
"6",138083,2012,12427.47,"Current","Rep4"
"7",6379,2012,574.11,"Current","Rep4"
"8",6377,2012,573.93,"Current","Rep4"
"9",147163,2012,13244.67,"Current","Rep4"
"10",10334,2012,930.06,"Current","Rep4"
"11",142580,2012,12832.2,"Current","Rep4"
"12",44018,2012,3961.62,"Current","Rep4"
"13",736,2012,66.24,"Current","Rep4"
"0",698920,2013,62902.8,"Current","Rep4"
