"class","npixels","year","areaHa","scenario","rep"
"0",5395484,2010,485593.56,"Current","Rep1"
"1",1670895,2010,150380.55,"Current","Rep1"
"2",174944,2010,15744.96,"Current","Rep1"
"3",566475,2010,50982.75,"Current","Rep1"
"4",114662,2010,10319.58,"Current","Rep1"
"5",102397,2010,9215.73,"Current","Rep1"
"6",250382,2010,22534.38,"Current","Rep1"
"7",66136,2010,5952.24,"Current","Rep1"
"8",151711,2010,13653.99,"Current","Rep1"
"9",360230,2010,32420.7,"Current","Rep1"
"10",43010,2010,3870.9,"Current","Rep1"
"11",338378,2010,30454.02,"Current","Rep1"
"12",279800,2010,25182,"Current","Rep1"
"13",5500,2010,495,"Current","Rep1"
"0",5395484,2011,485593.56,"Current","Rep1"
"1",1674852,2011,150736.68,"Current","Rep1"
"2",173557,2011,15620.13,"Current","Rep1"
"3",570377,2011,51333.93,"Current","Rep1"
"4",112011,2011,10080.99,"Current","Rep1"
"5",102117,2011,9190.53,"Current","Rep1"
"6",251709,2011,22653.81,"Current","Rep1"
"7",66139,2011,5952.51,"Current","Rep1"
"8",151676,2011,13650.84,"Current","Rep1"
"9",357247,2011,32152.23,"Current","Rep1"
"10",42843,2011,3855.87,"Current","Rep1"
"11",336689,2011,30302.01,"Current","Rep1"
"12",279803,2011,25182.27,"Current","Rep1"
"13",5500,2011,495,"Current","Rep1"
"0",5395484,2012,485593.56,"Current","Rep1"
"1",1676174,2012,150855.66,"Current","Rep1"
"2",173318,2012,15598.62,"Current","Rep1"
"3",571990,2012,51479.1,"Current","Rep1"
"4",109896,2012,9890.64,"Current","Rep1"
"5",102109,2012,9189.81,"Current","Rep1"
"6",252776,2012,22749.84,"Current","Rep1"
"7",66146,2012,5953.14,"Current","Rep1"
"8",153109,2012,13779.81,"Current","Rep1"
"9",355514,2012,31996.26,"Current","Rep1"
"10",42038,2012,3783.42,"Current","Rep1"
"11",336142,2012,30252.78,"Current","Rep1"
"12",279808,2012,25182.72,"Current","Rep1"
"13",5500,2012,495,"Current","Rep1"
"0",5395484,2013,485593.56,"Current","Rep1"
"1",1678337,2013,151050.33,"Current","Rep1"
"2",172351,2013,15511.59,"Current","Rep1"
"3",571055,2013,51394.95,"Current","Rep1"
"4",109892,2013,9890.28,"Current","Rep1"
"5",101701,2013,9153.09,"Current","Rep1"
"6",253662,2013,22829.58,"Current","Rep1"
"7",66154,2013,5953.86,"Current","Rep1"
"8",153069,2013,13776.21,"Current","Rep1"
"9",355133,2013,31961.97,"Current","Rep1"
"10",41600,2013,3744,"Current","Rep1"
"11",336266,2013,30263.94,"Current","Rep1"
"12",279800,2013,25182,"Current","Rep1"
"13",5500,2013,495,"Current","Rep1"
"0",5405903,2014,486531.27,"Current","Rep1"
"1",1678191,2014,151037.19,"Current","Rep1"
"2",170705,2014,15363.45,"Current","Rep1"
"3",571133,2014,51401.97,"Current","Rep1"
"4",109936,2014,9894.24,"Current","Rep1"
"5",101803,2014,9162.27,"Current","Rep1"
"6",253335,2014,22800.15,"Current","Rep1"
"7",66016,2014,5941.44,"Current","Rep1"
"8",153308,2014,13797.72,"Current","Rep1"
"9",349374,2014,31443.66,"Current","Rep1"
"10",40491,2014,3644.19,"Current","Rep1"
"11",335407,2014,30186.63,"Current","Rep1"
"12",278908,2014,25101.72,"Current","Rep1"
"13",5494,2014,494.46,"Current","Rep1"
"0",5407294,2015,486656.46,"Current","Rep1"
"1",1679968,2015,151197.12,"Current","Rep1"
"2",170687,2015,15361.83,"Current","Rep1"
"3",574768,2015,51729.12,"Current","Rep1"
"4",114000,2015,10260,"Current","Rep1"
"5",101856,2015,9167.04,"Current","Rep1"
"6",252146,2015,22693.14,"Current","Rep1"
"7",66031,2015,5942.79,"Current","Rep1"
"8",153261,2015,13793.49,"Current","Rep1"
"9",345344,2015,31080.96,"Current","Rep1"
"10",40244,2015,3621.96,"Current","Rep1"
"11",329901,2015,29691.09,"Current","Rep1"
"12",279010,2015,25110.9,"Current","Rep1"
"13",5494,2015,494.46,"Current","Rep1"
"0",5406908,2016,486621.72,"Current","Rep1"
"1",1685504,2016,151695.36,"Current","Rep1"
"2",168559,2016,15170.31,"Current","Rep1"
"3",574815,2016,51733.35,"Current","Rep1"
"4",113931,2016,10253.79,"Current","Rep1"
"5",101960,2016,9176.4,"Current","Rep1"
"6",253014,2016,22771.26,"Current","Rep1"
"7",66037,2016,5943.33,"Current","Rep1"
"8",153228,2016,13790.52,"Current","Rep1"
"9",341479,2016,30733.11,"Current","Rep1"
"10",40018,2016,3601.62,"Current","Rep1"
"11",329971,2016,29697.39,"Current","Rep1"
"12",279085,2016,25117.65,"Current","Rep1"
"13",5495,2016,494.55,"Current","Rep1"
"0",5406584,2017,486592.56,"Current","Rep1"
"1",1689436,2017,152049.24,"Current","Rep1"
"2",167214,2017,15049.26,"Current","Rep1"
"3",576090,2017,51848.1,"Current","Rep1"
"4",113813,2017,10243.17,"Current","Rep1"
"5",101955,2017,9175.95,"Current","Rep1"
"6",253547,2017,22819.23,"Current","Rep1"
"7",66048,2017,5944.32,"Current","Rep1"
"8",153241,2017,13791.69,"Current","Rep1"
"9",337894,2017,30410.46,"Current","Rep1"
"10",39850,2017,3586.5,"Current","Rep1"
"11",329521,2017,29656.89,"Current","Rep1"
"12",279316,2017,25138.44,"Current","Rep1"
"13",5495,2017,494.55,"Current","Rep1"
"0",5406267,2018,486564.03,"Current","Rep1"
"1",1692712,2018,152344.08,"Current","Rep1"
"2",166571,2018,14991.39,"Current","Rep1"
"3",578041,2018,52023.69,"Current","Rep1"
"4",113896,2018,10250.64,"Current","Rep1"
"5",101850,2018,9166.5,"Current","Rep1"
"6",255043,2018,22953.87,"Current","Rep1"
"7",66105,2018,5949.45,"Current","Rep1"
"8",153229,2018,13790.61,"Current","Rep1"
"9",332323,2018,29909.07,"Current","Rep1"
"10",39610,2018,3564.9,"Current","Rep1"
"11",329551,2018,29659.59,"Current","Rep1"
"12",279311,2018,25137.99,"Current","Rep1"
"13",5495,2018,494.55,"Current","Rep1"
"0",5415064,2019,487355.76,"Current","Rep1"
"1",1690203,2019,152118.27,"Current","Rep1"
"2",166303,2019,14967.27,"Current","Rep1"
"3",580162,2019,52214.58,"Current","Rep1"
"4",113827,2019,10244.43,"Current","Rep1"
"5",102269,2019,9204.21,"Current","Rep1"
"6",255120,2019,22960.8,"Current","Rep1"
"7",66026,2019,5942.34,"Current","Rep1"
"8",152983,2019,13768.47,"Current","Rep1"
"9",326663,2019,29399.67,"Current","Rep1"
"10",38869,2019,3498.21,"Current","Rep1"
"11",328468,2019,29562.12,"Current","Rep1"
"12",278563,2019,25070.67,"Current","Rep1"
"13",5484,2019,493.56,"Current","Rep1"
"0",5414627,2020,487316.43,"Current","Rep1"
"1",1694470,2020,152502.3,"Current","Rep1"
"2",168794,2020,15191.46,"Current","Rep1"
"3",581149,2020,52303.41,"Current","Rep1"
"4",113939,2020,10254.51,"Current","Rep1"
"5",102266,2020,9203.94,"Current","Rep1"
"6",256227,2020,23060.43,"Current","Rep1"
"7",66051,2020,5944.59,"Current","Rep1"
"8",152984,2020,13768.56,"Current","Rep1"
"9",321050,2020,28894.5,"Current","Rep1"
"10",38607,2020,3474.63,"Current","Rep1"
"11",325791,2020,29321.19,"Current","Rep1"
"12",278566,2020,25070.94,"Current","Rep1"
"13",5483,2020,493.47,"Current","Rep1"
"0",5414044,2021,487263.96,"Current","Rep1"
"1",1706230,2021,153560.7,"Current","Rep1"
"2",168572,2021,15171.48,"Current","Rep1"
