Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
5, 51, 999, 19, 17, 11, 2, 
5, 53, 855, 3, 1, 1, 1, 
5, 76, 1038, 11, 11, 59, 5, 
5, 78, 820, 41, 0, 0, 0, 
5, 87, 915, 70, 70, 12, 3, 
5, 103, 976, 11, 10, 7, 1, 
5, 123, 858, 30, 30, 13, 3, 
5, 142, 1101, 45, 45, 36, 3, 
5, 147, 803, 37, 0, 0, 0, 
5, 157, 936, 2, 2, 4, 3, 
5, 167, 1159, 20, 0, 0, 0, 
5, 172, 652, 3, 0, 0, 0, 
5, 180, 963, 22, 22, 31, 3, 
5, 201, 624, 12, 11, 10, 3, 
5, 210, 675, 26, 16, 13, 2.63, 
5, 221, 533, 44, 44, 31, 3, 
5, 283, 1182, 180, 180, 86, 1.99, 
5, 309, 914, 222, 214, 16, 2, 
5, 313, 678, 25, 7, 5, 3, 
5, 322, 620, 23, 15, 3, 2, 
5, 329, 919, 42, 41, 15, 1, 
5, 335, 1118, 15, 0, 0, 0, 
5, 348, 471, 48, 48, 40, 3, 
5, 352, 1336, 181, 162, 7, 1, 
5, 361, 1202, 51, 43, 10, 1, 
5, 366, 816, 2, 0, 0, 0, 
5, 385, 743, 90, 90, 15, 1, 
5, 408, 796, 65, 63, 17, 3, 
5, 439, 678, 6, 6, 21, 5, 
5, 440, 457, 132, 132, 105, 3, 
5, 455, 1049, 38, 35, 8, 3, 
5, 484, 623, 101, 100, 74, 3, 
5, 485, 772, 29, 24, 8, 3, 
5, 489, 995, 46, 45, 23, 1, 
5, 504, 1388, 225, 205, 94, 2, 
5, 513, 429, 3, 0, 0, 0, 
5, 515, 814, 2, 2, 1, 3, 
5, 527, 437, 34, 34, 36, 3, 
5, 536, 618, 8, 8, 37, 5, 
5, 541, 1065, 20, 20, 22, 2, 
5, 550, 1284, 72, 72, 346, 5, 
5, 553, 1134, 5, 0, 0, 0, 
5, 555, 1080, 3, 0, 0, 0, 
5, 557, 903, 123, 110, 33, 2, 
5, 560, 949, 58, 56, 30, 3, 
5, 564, 789, 131, 113, 16, 2, 
5, 569, 1194, 34, 28, 13, 3, 
5, 586, 1310, 51, 51, 41, 3, 
5, 590, 655, 13, 0, 0, 0, 
5, 590, 884, 33, 31, 7, 1.71, 
5, 590, 1014, 119, 115, 97, 2, 
5, 602, 854, 2, 0, 0, 0, 
5, 603, 526, 14, 3, 3, 1, 
5, 611, 812, 50, 50, 38, 2.84, 
5, 622, 941, 42, 37, 7, 2, 
5, 631, 1065, 45, 1, 2, 1, 
5, 640, 731, 5, 3, 5, 1.67, 
5, 646, 648, 89, 89, 23, 3, 
5, 647, 627, 59, 13, 2, 2, 
5, 660, 443, 23, 1, 10, 5, 
5, 662, 1224, 95, 95, 72, 3, 
5, 665, 794, 45, 20, 3, 1, 
5, 672, 1307, 24, 24, 102, 4, 
5, 693, 726, 3, 1, 1, 1, 
5, 704, 954, 7, 2, 2, 1, 
5, 720, 922, 12, 12, 24, 3, 
5, 720, 1031, 73, 73, 28, 2, 
5, 724, 1262, 23, 23, 114, 5, 
5, 735, 422, 5, 0, 0, 0, 
5, 735, 827, 42, 0, 0, 0, 
5, 744, 729, 128, 125, 142, 2.92, 
5, 757, 784, 77, 75, 8, 1, 
5, 765, 605, 11, 0, 0, 0, 
5, 774, 899, 18, 0, 0, 0, 
5, 776, 1090, 93, 93, 135, 3, 
5, 777, 905, 34, 13, 1, 1, 
5, 795, 1217, 116, 116, 152, 3, 
5, 815, 659, 67, 67, 297, 4, 
5, 821, 597, 20, 0, 0, 0, 
5, 831, 1144, 106, 104, 43, 3, 
5, 841, 1274, 110, 110, 167, 3, 
5, 853, 1073, 15, 13, 2, 1, 
5, 859, 1165, 27, 0, 0, 0, 
5, 870, 867, 19, 17, 4, 3, 
5, 879, 895, 30, 30, 23, 3, 
5, 883, 970, 13, 12, 4, 3, 
5, 901, 628, 3, 3, 3, 2.67, 
5, 944, 703, 78, 77, 33, 3, 
5, 952, 713, 65, 65, 25, 3, 
5, 956, 654, 67, 48, 3, 2, 
5, 956, 809, 23, 16, 10, 2.63, 
5, 958, 1232, 2, 2, 1, 1, 
5, 970, 740, 9, 4, 4, 3, 
5, 974, 693, 157, 153, 47, 3, 
5, 978, 645, 8, 8, 6, 3, 
5, 982, 1345, 85, 83, 28, 1, 
5, 987, 796, 10, 0, 0, 0, 
5, 990, 1191, 70, 58, 15, 3, 
5, 994, 514, 120, 120, 553, 4, 
5, 1006, 1335, 54, 54, 73, 3, 
5, 1011, 580, 33, 0, 0, 0, 
5, 1016, 1391, 138, 136, 25, 2, 
5, 1020, 1399, 40, 34, 24, 2.97, 
5, 1031, 847, 25, 20, 6, 2.15, 
5, 1043, 722, 5, 2, 1, 3, 
5, 1044, 1363, 23, 0, 0, 0, 
5, 1049, 1395, 70, 70, 60, 3, 
5, 1058, 1255, 14, 9, 4, 3, 
5, 1060, 1303, 18, 15, 7, 1.2, 
5, 1070, 844, 68, 67, 2, 2, 
5, 1078, 688, 55, 39, 3, 2, 
5, 1085, 863, 37, 0, 0, 0, 
5, 1088, 1158, 256, 247, 43, 1.97, 
5, 1091, 1115, 13, 13, 4, 1.31, 
5, 1096, 1313, 70, 70, 45, 1.99, 
5, 1108, 929, 155, 152, 7, 1.78, 
5, 1114, 1320, 118, 113, 46, 1.81, 
5, 1119, 748, 84, 84, 461, 5, 
5, 1150, 854, 5, 0, 0, 0, 
5, 1153, 829, 145, 0, 0, 0, 
5, 1156, 541, 55, 47, 4, 1, 
5, 1162, 941, 22, 0, 0, 0, 
5, 1166, 549, 176, 171, 170, 3, 
5, 1167, 823, 26, 0, 0, 0, 
5, 1167, 973, 84, 48, 9, 1.33, 
5, 1168, 1265, 25, 25, 20, 1.84, 
5, 1168, 1425, 71, 8, 42, 5, 
5, 1173, 869, 35, 33, 14, 3, 
5, 1178, 875, 19, 12, 1, 2, 
5, 1184, 916, 2, 0, 0, 0, 
5, 1224, 911, 4, 1, 1, 1, 
5, 1231, 1460, 150, 150, 119, 2.99, 
5, 1238, 954, 41, 14, 3, 3, 
5, 1248, 712, 33, 0, 0, 0, 
5, 1271, 621, 86, 85, 98, 3, 
5, 1281, 1151, 11, 3, 1, 1, 
5, 1287, 913, 2, 0, 0, 0, 
5, 1297, 912, 19, 19, 10, 3, 
5, 1297, 936, 62, 58, 6, 1, 
5, 1307, 1100, 115, 111, 16, 1, 
5, 1310, 1114, 40, 31, 4, 2, 
5, 1311, 1365, 71, 71, 55, 3, 
5, 1322, 1464, 85, 85, 381, 5, 
5, 1325, 960, 41, 41, 12, 1.93, 
5, 1327, 507, 2, 2, 4, 2, 
5, 1333, 846, 5, 5, 17, 4, 
5, 1333, 1374, 35, 31, 13, 2, 
5, 1338, 1189, 113, 107, 41, 2, 
5, 1341, 1381, 73, 53, 14, 2, 
5, 1345, 1405, 25, 24, 10, 3, 
5, 1346, 739, 48, 48, 31, 3, 
5, 1363, 1082, 65, 58, 2, 1, 
5, 1388, 1050, 128, 126, 94, 3, 
5, 1396, 1081, 146, 146, 60, 3, 
5, 1416, 1198, 30, 28, 13, 3, 
5, 1417, 1487, 4, 3, 1, 2, 
5, 1420, 1252, 12, 12, 54, 4.83, 
5, 1421, 1491, 39, 35, 15, 2, 
5, 1424, 638, 177, 175, 107, 2, 
5, 1427, 1480, 2, 0, 0, 0, 
5, 1435, 835, 18, 18, 73, 4.89, 
5, 1436, 583, 38, 35, 14, 2, 
5, 1453, 1168, 17, 17, 12, 2, 
5, 1461, 1147, 58, 54, 16, 3, 
5, 1470, 1139, 23, 22, 19, 2, 
5, 1473, 1185, 19, 19, 60, 4, 
5, 1492, 849, 64, 15, 1, 1, 
5, 1494, 987, 117, 110, 20, 2, 
5, 1502, 865, 13, 13, 52, 5, 
5, 1516, 1410, 205, 205, 139, 3, 
5, 1523, 984, 72, 72, 22, 1, 
5, 1532, 1064, 9, 9, 49, 5, 
5, 1541, 1352, 113, 112, 150, 3, 
5, 1562, 720, 4, 1, 1, 2, 
5, 1569, 786, 15, 14, 6, 2, 
5, 1570, 1500, 126, 0, 0, 0, 
5, 1585, 1017, 18, 18, 22, 1.94, 
