"class","npixels","year","areaHa","scenario","rep"
"0",698920,2010,62902.8,"RCP85","Rep1"
"1",954732,2010,85925.88,"RCP85","Rep1"
"2",99263,2010,8933.67,"RCP85","Rep1"
"3",415056,2010,37355.04,"RCP85","Rep1"
"4",98419,2010,8857.71,"RCP85","Rep1"
"5",85629,2010,7706.61,"RCP85","Rep1"
"6",137199,2010,12347.91,"RCP85","Rep1"
"7",6379,2010,574.11,"RCP85","Rep1"
"8",6019,2010,541.71,"RCP85","Rep1"
"9",151512,2010,13636.08,"RCP85","Rep1"
"10",10336,2010,930.24,"RCP85","Rep1"
"11",145013,2010,13051.17,"RCP85","Rep1"
"12",44020,2010,3961.8,"RCP85","Rep1"
"13",736,2010,66.24,"RCP85","Rep1"
"0",698920,2011,62902.8,"RCP85","Rep1"
"1",958560,2011,86270.4,"RCP85","Rep1"
"2",97883,2011,8809.47,"RCP85","Rep1"
"3",419150,2011,37723.5,"RCP85","Rep1"
"4",95832,2011,8624.88,"RCP85","Rep1"
"5",85387,2011,7684.83,"RCP85","Rep1"
"6",137840,2011,12405.6,"RCP85","Rep1"
"7",6380,2011,574.2,"RCP85","Rep1"
"8",6019,2011,541.71,"RCP85","Rep1"
"9",148916,2011,13402.44,"RCP85","Rep1"
"10",10327,2011,929.43,"RCP85","Rep1"
"11",143260,2011,12893.4,"RCP85","Rep1"
"12",44023,2011,3962.07,"RCP85","Rep1"
"13",736,2011,66.24,"RCP85","Rep1"
"0",698920,2012,62902.8,"RCP85","Rep1"
"1",959728,2012,86375.52,"RCP85","Rep1"
"2",97488,2012,8773.92,"RCP85","Rep1"
"3",420525,2012,37847.25,"RCP85","Rep1"
"4",94726,2012,8525.34,"RCP85","Rep1"
"5",85584,2012,7702.56,"RCP85","Rep1"
"6",139209,2012,12528.81,"RCP85","Rep1"
"7",6381,2012,574.29,"RCP85","Rep1"
"8",6374,2012,573.66,"RCP85","Rep1"
"9",147165,2012,13244.85,"RCP85","Rep1"
"10",9777,2012,879.93,"RCP85","Rep1"
"11",142594,2012,12833.46,"RCP85","Rep1"
"12",44026,2012,3962.34,"RCP85","Rep1"
"13",736,2012,66.24,"RCP85","Rep1"
"0",698920,2013,62902.8,"RCP85","Rep1"
"1",961043,2013,86493.87,"RCP85","Rep1"
"2",96511,2013,8685.99,"RCP85","Rep1"
"3",420022,2013,37801.98,"RCP85","Rep1"
"4",94637,2013,8517.33,"RCP85","Rep1"
"5",85242,2013,7671.78,"RCP85","Rep1"
"6",140166,2013,12614.94,"RCP85","Rep1"
"7",6382,2013,574.38,"RCP85","Rep1"
"8",6371,2013,573.39,"RCP85","Rep1"
"9",146828,2013,13214.52,"RCP85","Rep1"
"10",9767,2013,879.03,"RCP85","Rep1"
"11",142583,2013,12832.47,"RCP85","Rep1"
"12",44025,2013,3962.25,"RCP85","Rep1"
"13",736,2013,66.24,"RCP85","Rep1"
"0",704575,2014,63411.75,"RCP85","Rep1"
"1",962879,2014,86659.11,"RCP85","Rep1"
"2",94842,2014,8535.78,"RCP85","Rep1"
"3",419964,2014,37796.76,"RCP85","Rep1"
"4",94679,2014,8521.11,"RCP85","Rep1"
"5",85070,2014,7656.3,"RCP85","Rep1"
"6",140544,2014,12648.96,"RCP85","Rep1"
"7",6359,2014,572.31,"RCP85","Rep1"
"8",6410,2014,576.9,"RCP85","Rep1"
"9",141676,2014,12750.84,"RCP85","Rep1"
"10",9436,2014,849.24,"RCP85","Rep1"
"11",142161,2014,12794.49,"RCP85","Rep1"
"12",43902,2014,3951.18,"RCP85","Rep1"
"13",736,2014,66.24,"RCP85","Rep1"
"0",705372,2015,63483.48,"RCP85","Rep1"
"1",964724,2015,86825.16,"RCP85","Rep1"
"2",94784,2015,8530.56,"RCP85","Rep1"
"3",422347,2015,38011.23,"RCP85","Rep1"
"4",98059,2015,8825.31,"RCP85","Rep1"
"5",85229,2015,7670.61,"RCP85","Rep1"
"6",140523,2015,12647.07,"RCP85","Rep1"
"7",6359,2015,572.31,"RCP85","Rep1"
"8",6415,2015,577.35,"RCP85","Rep1"
"9",137638,2015,12387.42,"RCP85","Rep1"
"10",9416,2015,847.44,"RCP85","Rep1"
"11",137639,2015,12387.51,"RCP85","Rep1"
"12",43992,2015,3959.28,"RCP85","Rep1"
"13",736,2015,66.24,"RCP85","Rep1"
"0",705016,2016,63451.44,"RCP85","Rep1"
"1",968213,2016,87139.17,"RCP85","Rep1"
"2",92362,2016,8312.58,"RCP85","Rep1"
"3",422289,2016,38006.01,"RCP85","Rep1"
"4",97930,2016,8813.7,"RCP85","Rep1"
"5",85409,2016,7686.81,"RCP85","Rep1"
"6",141412,2016,12727.08,"RCP85","Rep1"
"7",6363,2016,572.67,"RCP85","Rep1"
"8",6444,2016,579.96,"RCP85","Rep1"
"9",135944,2016,12234.96,"RCP85","Rep1"
"10",9399,2016,845.91,"RCP85","Rep1"
"11",137668,2016,12390.12,"RCP85","Rep1"
"12",44048,2016,3964.32,"RCP85","Rep1"
"13",736,2016,66.24,"RCP85","Rep1"
"0",704713,2017,63424.17,"RCP85","Rep1"
"1",970647,2017,87358.23,"RCP85","Rep1"
"2",91306,2017,8217.54,"RCP85","Rep1"
