Time,InsectName,StartYear,StopYear,MeanDefoliation,NumSitesDefoliated0_33,NumSitesDefoliated33_66,NumSitesDefoliated66_100,NumOutbreakInitialSites,MortalityBiomass,
0, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
1, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
2, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
3, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
4, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
5, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
6, FTC, 6, 7, 0.0978, 3862994, 134360, 114240, 393053, 0, 
7, FTC, 6, 7, 0.0807, 3948799, 142410, 20800, 393053, 169472477, 
8, FTC, 0, 0, 0, 0, 0, 0, 0, 178116876, 
9, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
10, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
11, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
12, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
13, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
14, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
15, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
16, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
17, FTC, 17, 17, 0.0929, 3877643, 123522, 99174, 393053, 0, 
18, FTC, 0, 0, 0, 0, 0, 0, 0, 157316050, 
19, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
20, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
21, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
22, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
23, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
24, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
25, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
26, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
27, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
28, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
29, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
30, FTC, 30, 30, 0.1006, 3811962, 137765, 131609, 393053, 0, 
31, FTC, 0, 0, 0, 0, 0, 0, 0, 208061778, 
32, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
33, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
34, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
35, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
36, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
