Time,ManagementArea,Prescription,HarvestedSites,TotalCohortsCompleteHarvest,TotalCohortsPartialHarvest,TotalBiomassHarvested,CohortsHarvested_ABIEBALS,CohortsHarvested_ACERPENS,CohortsHarvested_ACERRUBR,CohortsHarvested_ACERSACC,CohortsHarvested_BETUALLE,CohortsHarvested_BETULENT,CohortsHarvested_BETUPAPY,CohortsHarvested_CARYCORD,CohortsHarvested_CARYOVAT,CohortsHarvested_FAGUGRAN,CohortsHarvested_FRAXAMER,CohortsHarvested_PICEABIE,CohortsHarvested_PICERUBE,CohortsHarvested_PINURESI,CohortsHarvested_PINUSTRO,CohortsHarvested_POPUGRAN,CohortsHarvested_POPUTREM,CohortsHarvested_PRUNPENS,CohortsHarvested_PRUNSERO,CohortsHarvested_QUERALBA,CohortsHarvested_QUERRUBR,CohortsHarvested_TILIAMER,CohortsHarvested_TSUGCANA,BiomassHarvestedMg_ABIEBALS,BiomassHarvestedMg_ACERPENS,BiomassHarvestedMg_ACERRUBR,BiomassHarvestedMg_ACERSACC,BiomassHarvestedMg_BETUALLE,BiomassHarvestedMg_BETULENT,BiomassHarvestedMg_BETUPAPY,BiomassHarvestedMg_CARYCORD,BiomassHarvestedMg_CARYOVAT,BiomassHarvestedMg_FAGUGRAN,BiomassHarvestedMg_FRAXAMER,BiomassHarvestedMg_PICEABIE,BiomassHarvestedMg_PICERUBE,BiomassHarvestedMg_PINURESI,BiomassHarvestedMg_PINUSTRO,BiomassHarvestedMg_POPUGRAN,BiomassHarvestedMg_POPUTREM,BiomassHarvestedMg_PRUNPENS,BiomassHarvestedMg_PRUNSERO,BiomassHarvestedMg_QUERALBA,BiomassHarvestedMg_QUERRUBR,BiomassHarvestedMg_TILIAMER,BiomassHarvestedMg_TSUGCANA,
5, 31, ClearCutLarge, 134, 770, 0, 2020.35608028173, 20, 1, 100, 187, 144, 0, 47, 0, 0, 86, 50, 0, 26, 0, 7, 12, 26, 2, 41, 0, 0, 0, 21, 7.58160030126571, 0.519300020635128, 71.3367028346658, 1093.21024344027, 367.121714588106, 0, 25.8120010256767, 0, 0, 108.627304316461, 163.211406485438, 0, 3.38850013464689, 0, 59.4423023620248, 17.8389007088542, 5.92560023546219, 0.0198000007867813, 88.9263035336137, 0, 0, 0, 7.39440029382706, 
5, 31, SoftwoodRelease, 1095, 4210, 0, 11168.9428438139, 0, 3, 1041, 558, 1095, 13, 457, 0, 0, 558, 239, 0, 0, 0, 0, 46, 77, 3, 99, 0, 21, 0, 0, 0, 1.54530006140471, 741.688229472041, 4284.67787025779, 4090.57936254501, 18.8685007497668, 90.1377035817504, 0, 0, 1016.79214040369, 488.054719393551, 0, 0, 0, 0, 18.9081007513404, 42.9876017081738, 0.498600019812584, 305.573412142396, 0, 68.6313027271628, 0, 0, 
5, 31, PlantationConversion, 1031, 4247, 0, 8179.874425039, 69, 1, 355, 397, 344, 0, 32, 0, 0, 147, 15, 2028, 344, 0, 7, 8, 125, 0, 75, 0, 0, 0, 300, 26.1963010409474, 0.702900027930736, 356.864414180517, 2517.77890004754, 1563.75006213784, 0, 18.0459007170796, 0, 0, 571.977922728359, 31.5936012554169, 2415.74499599308, 87.578103480041, 0, 58.9122023409605, 7.90380031406879, 36.7002014583349, 0, 322.02541279614, 0, 0, 0, 164.099706520736, 
5, 31, GroupSelection, 881, 5173, 0, 11893.6543726113, 287, 8, 926, 849, 831, 6, 177, 0, 0, 567, 187, 73, 557, 7, 74, 63, 77, 19, 222, 2, 24, 3, 214, 132.677105272114, 2.60910010367632, 872.05773465246, 4589.41518236697, 2632.93840462357, 12.2346004861593, 101.955604051352, 0, 0, 929.829636948109, 473.288418806792, 74.310302952826, 482.359519167244, 1.00980004012585, 500.76091989845, 33.3873013266921, 28.3788011276722, 0.160200006365776, 795.025831591487, 27.8676011073589, 73.4904029202461, 14.4747005751729, 115.423204586506, 
5, 31, GroupSelectionBeechUnderstory, 1060, 5727, 0, 14378.8586713645, 0, 0, 272, 1921, 1045, 5, 208, 0, 0, 2128, 96, 0, 5, 0, 3, 0, 0, 2, 24, 0, 4, 0, 14, 0, 0, 263.719810479283, 7482.94499734551, 3018.80261995643, 15.415200612545, 41.5746016520262, 0, 0, 3234.01782850832, 180.282607163787, 0, 3.76650014966726, 0, 8.24400032758713, 0, 0, 0.012600000500679, 115.320604582429, 0, 9.35190037161112, 0, 5.4054002147913, 
5, 31, OakShelterWood, 286, 1192, 461, 2559.87190172017, 9, 0, 311, 110, 110, 96, 19, 0, 0, 210, 55, 0, 13, 0, 73, 33, 1, 1, 40, 37, 424, 1, 110, 1.48770005911589, 0, 215.330408556461, 676.378826876879, 234.41310931474, 285.067811327577, 6.69600026607513, 0, 0, 204.160508112609, 87.7698034876585, 0, 1.59300006330013, 0, 163.868406511545, 10.733400426507, 1.13760004520416, 0.00630000025033951, 235.890009373426, 45.3969018039107, 354.70801409483, 4.8249001917243, 30.409201208353, 
5, 31, NHWShelterwood, 361, 337, 1586, 1755.34296975106, 4, 1, 61, 783, 365, 4, 16, 0, 0, 418, 128, 0, 10, 0, 11, 6, 15, 3, 24, 0, 14, 2, 58, 1.1124000442028, 0.531000021100044, 29.1024011564255, 692.318727510272, 248.775309885442, 0.686700027287006, 8.29350032955408, 0, 0, 119.045704730451, 468.013518597186, 0, 1.06830004245043, 0, 28.2645011231303, 2.18970008701086, 5.28570021003485, 0.0225000008940697, 126.118805011511, 0, 8.77950034886599, 1.92960007667542, 13.8051005485654, 
5, 31, NHWSingleTreeSelection, 205, 0, 1158, 654.307225999832, 455, 0, 23, 50, 405, 4, 120, 0, 0, 0, 9, 0, 75, 0, 2, 0, 3, 0, 5, 0, 0, 0, 7, 118.440004706383, 0, 4.22640016794205, 87.1434034627676, 351.720013976097, 6.563700260818, 2.17260008633137, 0, 0, 0, 7.73460030734539, 0, 68.2155027106404, 0, 4.20120016694069, 0, 0.332100013196468, 0, 2.8296001124382, 0, 0, 0, 0.728100028932095, 
5, 62, ClearCutSmall, 1691, 10641, 0, 25749.7291232023, 106, 11, 1317, 2356, 1479, 308, 195, 0, 0, 1624, 1033, 95, 159, 6, 77, 25, 145, 31, 213, 17, 660, 9, 775, 34.5717013737559, 4.71870018750429, 799.169431756139, 11148.7999430135, 3611.29784350008, 1328.38385278523, 121.11480481267, 0, 0, 2560.85020175904, 2469.71979813784, 86.1066034215689, 44.113501752913, 9.66420038402081, 344.885413704515, 15.3225006088614, 43.354801722765, 0.830700033009052, 1074.91774271339, 25.5051010134816, 1696.79706742465, 43.6347017338872, 285.970511363447, 
5, 62, PlantationConversion, 284, 1364, 0, 3031.16052044749, 69, 2, 186, 143, 188, 0, 35, 0, 0, 61, 29, 300, 155, 3, 15, 4, 40, 5, 36, 0, 2, 0, 91, 30.7863012233376, 1.84410007327795, 155.057406161427, 954.609337932766, 739.654229391217, 0, 24.566400976181, 0, 0, 115.190104577243, 96.6978038424253, 428.563817029595, 124.50690494746, 0.421200016736984, 90.9810036152601, 0.0072000002861023, 16.6419006612897, 0.0468000018596649, 154.601106143296, 0, 12.091500480473, 0, 84.8934033733606, 
