"time","ABIEBALS","ACERPENS","ACERRUBR","ACERSACC","BETUALLE","BETULENT","BETUPAPY","FAGUGRAN","FRAXAMER","PICERUBE","PINUSTRO","POPUTREM","PRUNPENS","PRUNSERO","QUERALBA","QUERRUBR","TILIAMER","TSUGCANA","woody","TotalBiomass","NA","NA","NA","NA","NA"
0,0.0192656379703492,0.00440506391792081,0.100487639232759,0.00888292799948636,0.676974169646202,0,0.0152246344854655,0.055096845264659,0.0048871486611525,0.0866412695980078,0,4.79127452991112e-09,2.8257975269312e-07,0.00583194637805417,0,0,0,0.0166955994078125,0.252376818382733,NA,NA,NA,NA,NA,NA
5,0.0196149411255939,0.004499065373667,0.0916720232835861,0.0101488348884795,0.692614650807176,9.4193349963063e-07,0.00858089887905994,0.0549656841094085,0.00554861288685806,0.0867776046861038,0.000216657800225666,0.000369233824480465,8.3644660616668e-06,0.00575791021764266,4.21366043696434e-07,1.89891592571523e-05,0,0.0157308268001539,0.298917414957319,NA,NA,NA,NA,NA,NA
10,0.0185544859335697,0.00482803085134491,0.0818572662570089,0.012166958777509,0.705900169282244,4.96966035093098e-06,0.00466182795904409,0.0555523905538867,0.00646484882035649,0.0854928715517417,0.000424689694362451,0.000691086381296269,2.1513949179017e-05,0.00567847177250037,1.92186989473054e-06,4.34924240186823e-05,1.20691541428451e-06,0.0153165550589529,0.322013184163208,NA,NA,NA,NA,NA,NA
15,0.0213566941789636,0.0046150526189862,0.0720583208113896,0.0129456422606504,0.70848503383048,1.36629883364336e-05,0.00285349567709495,0.0555252360052025,0.00683616903954547,0.0918287145154721,0.000565828556326459,0.000873295086469579,2.36534886439433e-05,0.00552655646460442,1.9248938960604e-06,6.08573112725685e-05,1.85655810443593e-06,0.0144497623623743,0.349802254125387,NA,NA,NA,NA,NA,NA
20,0.0191456587350593,0.00433311944044354,0.0605934410714364,0.0129363010430135,0.721233397605222,7.73927195745415e-05,0.00223454259144183,0.0567926877792165,0.00743619586861847,0.0918180517312552,0.000737401015948081,0.00104522727060765,3.09865895815206e-05,0.00556403817711495,4.11863841025297e-06,8.3799531697758e-05,1.93129668489262e-06,0.0140858293460469,0.375457963929781,NA,NA,NA,NA,NA,NA
25,0.0188301428665625,0.00404510572895496,0.0481420509223723,0.0132381744470544,0.730744166017983,0.000115110067328126,0.00274776147947341,0.0569134078817026,0.00799111123453888,0.0940183860481964,0.000951692141042157,0.00118002565596963,3.41168314010515e-05,0.00549999757561257,5.59470153476865e-06,0.000103974934027348,3.35456165205134e-06,0.0136457019451488,0.397250142944816,NA,NA,NA,NA,NA,NA
30,0.0190517828543134,0.00378990777076042,0.0473528796543529,0.0145944163028821,0.72911474157625,0.000138425470143274,0.00194475770611247,0.0571275574519942,0.00825687253202166,0.0961583179287212,0.00111580987691769,0.00114951655477838,3.48938297079301e-05,0.00529379514472163,7.37756055259481e-06,0.000122217909415867,4.66782325320903e-06,0.0131836407409645,0.439669275222051,NA,NA,NA,NA,NA,NA
35,0.0180903008100877,0.00355282171456602,0.0352887424386528,0.015593736064305,0.738792771956148,0.000174928340066228,0.00203213850773515,0.0580244880579347,0.00875025441864067,0.0963453022089697,0.0013227765375136,0.00108361671819441,1.83836246884261e-05,0.0051693087058883,7.82868712085324e-06,0.000149020394755707,5.1497037092866e-06,0.0143275939402311,0.470323132514808,NA,NA,NA,NA,NA,NA
40,0.0196611160513707,0.00341605211153161,0.030972036644701,0.016105331266984,0.738258981811796,0.00019894805681983,0.00273111345636608,0.0589245263314961,0.00920662474087831,0.0975540730241318,0.00151034580368023,0.000891198722697798,9.53700370784835e-06,0.00508878977424059,9.80946772952288e-06,0.00017408139183008,5.20208169078351e-06,0.0142981991495044,0.503379359396965,NA,NA,NA,NA,NA,NA
45,0.0191934116539357,0.00328949278198048,0.024174380335726,0.0173346790427958,0.739733498335732,0.000245218009218751,0.00211778816134739,0.0616764771575429,0.00954427773004192,0.0989638932989012,0.0016813831244465,0.000659102620074952,1.05483131632982e-05,0.00559802204675244,1.56659684243101e-05,0.000214836529336477,5.6060575272122e-06,0.0148263420058865,0.545150992731538,NA,NA,NA,NA,NA,NA
