"class","npixels","year","areaHa","scenario","rep"
"0",5395484,2010,485593.56,"RCP85","Rep2"
"1",1670999,2010,150389.91,"RCP85","Rep2"
"2",174075,2010,15666.75,"RCP85","Rep2"
"3",566176,2010,50955.84,"RCP85","Rep2"
"4",216932,2010,19523.88,"RCP85","Rep2"
"6",251579,2010,22642.11,"RCP85","Rep2"
"7",66139,2010,5952.51,"RCP85","Rep2"
"8",151691,2010,13652.19,"RCP85","Rep2"
"9",360234,2010,32421.06,"RCP85","Rep2"
"10",42982,2010,3868.38,"RCP85","Rep2"
"11",338428,2010,30458.52,"RCP85","Rep2"
"12",279785,2010,25180.65,"RCP85","Rep2"
"13",5500,2010,495,"RCP85","Rep2"
"0",5395484,2011,485593.56,"RCP85","Rep2"
"1",1675007,2011,150750.63,"RCP85","Rep2"
"2",173600,2011,15624,"RCP85","Rep2"
"3",568368,2011,51153.12,"RCP85","Rep2"
"4",213938,2011,19254.42,"RCP85","Rep2"
"6",253678,2011,22831.02,"RCP85","Rep2"
"7",66153,2011,5953.77,"RCP85","Rep2"
"8",151639,2011,13647.51,"RCP85","Rep2"
"9",357276,2011,32154.84,"RCP85","Rep2"
"10",42740,2011,3846.6,"RCP85","Rep2"
"11",336809,2011,30312.81,"RCP85","Rep2"
"12",279812,2011,25183.08,"RCP85","Rep2"
"13",5500,2011,495,"RCP85","Rep2"
"0",5395484,2012,485593.56,"RCP85","Rep2"
"1",1676390,2012,150875.1,"RCP85","Rep2"
"2",173379,2012,15604.11,"RCP85","Rep2"
"3",569415,2012,51247.35,"RCP85","Rep2"
"4",211728,2012,19055.52,"RCP85","Rep2"
"6",255356,2012,22982.04,"RCP85","Rep2"
"7",66164,2012,5954.76,"RCP85","Rep2"
"8",153077,2012,13776.93,"RCP85","Rep2"
"9",355541,2012,31998.69,"RCP85","Rep2"
"10",41804,2012,3762.36,"RCP85","Rep2"
"11",336320,2012,30268.8,"RCP85","Rep2"
"12",279846,2012,25186.14,"RCP85","Rep2"
"13",5500,2012,495,"RCP85","Rep2"
"0",5395484,2013,485593.56,"RCP85","Rep2"
"1",1678610,2013,151074.9,"RCP85","Rep2"
"2",172454,2013,15520.86,"RCP85","Rep2"
"3",567903,2013,51111.27,"RCP85","Rep2"
"4",211176,2013,19005.84,"RCP85","Rep2"
"6",257034,2013,23133.06,"RCP85","Rep2"
"7",66172,2013,5955.48,"RCP85","Rep2"
"8",152997,2013,13769.73,"RCP85","Rep2"
"9",355130,2013,31961.7,"RCP85","Rep2"
"10",41203,2013,3708.27,"RCP85","Rep2"
"11",336467,2013,30282.03,"RCP85","Rep2"
"12",279874,2013,25188.66,"RCP85","Rep2"
"13",5500,2013,495,"RCP85","Rep2"
"0",5406856,2014,486617.04,"RCP85","Rep2"
"1",1678009,2014,151020.81,"RCP85","Rep2"
"2",170745,2014,15367.05,"RCP85","Rep2"
"3",566472,2014,50982.48,"RCP85","Rep2"
"4",211248,2014,19012.32,"RCP85","Rep2"
"6",257501,2014,23175.09,"RCP85","Rep2"
"7",66136,2014,5952.24,"RCP85","Rep2"
"8",153186,2014,13786.74,"RCP85","Rep2"
"9",349685,2014,31471.65,"RCP85","Rep2"
"10",39979,2014,3598.11,"RCP85","Rep2"
"11",335683,2014,30211.47,"RCP85","Rep2"
"12",279014,2014,25111.26,"RCP85","Rep2"
"13",5490,2014,494.1,"RCP85","Rep2"
"0",5408068,2015,486726.12,"RCP85","Rep2"
"1",1680054,2015,151204.86,"RCP85","Rep2"
"2",170716,2015,15364.44,"RCP85","Rep2"
"3",570010,2015,51300.9,"RCP85","Rep2"
"4",215199,2015,19367.91,"RCP85","Rep2"
"6",256534,2015,23088.06,"RCP85","Rep2"
"7",66148,2015,5953.32,"RCP85","Rep2"
"8",153138,2015,13782.42,"RCP85","Rep2"
"9",345449,2015,31090.41,"RCP85","Rep2"
"10",39721,2015,3574.89,"RCP85","Rep2"
"11",330284,2015,29725.56,"RCP85","Rep2"
"12",279192,2015,25127.28,"RCP85","Rep2"
"13",5491,2015,494.19,"RCP85","Rep2"
"0",5407604,2016,486684.36,"RCP85","Rep2"
"1",1686661,2016,151799.49,"RCP85","Rep2"
"2",168326,2016,15149.34,"RCP85","Rep2"
"3",568886,2016,51199.74,"RCP85","Rep2"
"4",215088,2016,19357.92,"RCP85","Rep2"
"6",257930,2016,23213.7,"RCP85","Rep2"
"7",66159,2016,5954.31,"RCP85","Rep2"
"8",153091,2016,13778.19,"RCP85","Rep2"
"9",341525,2016,30737.25,"RCP85","Rep2"
"10",39419,2016,3547.71,"RCP85","Rep2"
"11",330581,2016,29752.29,"RCP85","Rep2"
"12",279243,2016,25131.87,"RCP85","Rep2"
"13",5491,2016,494.19,"RCP85","Rep2"
"0",5407180,2017,486646.2,"RCP85","Rep2"
"1",1690770,2017,152169.3,"RCP85","Rep2"
"2",167368,2017,15063.12,"RCP85","Rep2"
"3",568998,2017,51209.82,"RCP85","Rep2"
"4",214888,2017,19339.92,"RCP85","Rep2"
"6",259769,2017,23379.21,"RCP85","Rep2"
"7",66174,2017,5955.66,"RCP85","Rep2"
"8",153074,2017,13776.66,"RCP85","Rep2"
"9",337511,2017,30375.99,"RCP85","Rep2"
"10",39296,2017,3536.64,"RCP85","Rep2"
"11",330082,2017,29707.38,"RCP85","Rep2"
"12",279403,2017,25146.27,"RCP85","Rep2"
"13",5491,2017,494.19,"RCP85","Rep2"
"0",5406761,2018,486608.49,"RCP85","Rep2"
"1",1693464,2018,152411.76,"RCP85","Rep2"
"2",166896,2018,15020.64,"RCP85","Rep2"
"3",570155,2018,51313.95,"RCP85","Rep2"
"4",214815,2018,19333.35,"RCP85","Rep2"
"6",262333,2018,23609.97,"RCP85","Rep2"
"7",66234,2018,5961.06,"RCP85","Rep2"
"8",153033,2018,13772.97,"RCP85","Rep2"
"9",332528,2018,29927.52,"RCP85","Rep2"
"10",38972,2018,3507.48,"RCP85","Rep2"
"11",329924,2018,29693.16,"RCP85","Rep2"
"12",279398,2018,25145.82,"RCP85","Rep2"
"13",5491,2018,494.19,"RCP85","Rep2"
"0",5414751,2019,487327.59,"RCP85","Rep2"
"1",1690820,2019,152173.8,"RCP85","Rep2"
"2",166691,2019,15002.19,"RCP85","Rep2"
"3",572121,2019,51490.89,"RCP85","Rep2"
"4",214962,2019,19346.58,"RCP85","Rep2"
"6",263077,2019,23676.93,"RCP85","Rep2"
"7",66177,2019,5955.93,"RCP85","Rep2"
"8",152939,2019,13764.51,"RCP85","Rep2"
"9",326950,2019,29425.5,"RCP85","Rep2"
"10",38192,2019,3437.28,"RCP85","Rep2"
"11",328988,2019,29608.92,"RCP85","Rep2"
"12",278845,2019,25096.05,"RCP85","Rep2"
"13",5491,2019,494.19,"RCP85","Rep2"
"0",5414239,2020,487281.51,"RCP85","Rep2"
"1",1692953,2020,152365.77,"RCP85","Rep2"
"2",168804,2020,15192.36,"RCP85","Rep2"
"3",573888,2020,51649.92,"RCP85","Rep2"
"4",215065,2020,19355.85,"RCP85","Rep2"
"6",263674,2020,23730.66,"RCP85","Rep2"
"7",66201,2020,5958.09,"RCP85","Rep2"
"8",152963,2020,13766.67,"RCP85","Rep2"
"9",321598,2020,28943.82,"RCP85","Rep2"
"10",37759,2020,3398.31,"RCP85","Rep2"
"11",328507,2020,29565.63,"RCP85","Rep2"
"12",278862,2020,25097.58,"RCP85","Rep2"
"13",5491,2020,494.19,"RCP85","Rep2"
"0",5413683,2021,487231.47,"RCP85","Rep2"
"1",1705756,2021,153518.04,"RCP85","Rep2"
"2",168528,2021,15167.52,"RCP85","Rep2"
"3",572954,2021,51565.86,"RCP85","Rep2"
"4",212828,2021,19154.52,"RCP85","Rep2"
"6",266401,2021,23976.09,"RCP85","Rep2"
"7",66218,2021,5959.62,"RCP85","Rep2"
"8",153089,2021,13778.01,"RCP85","Rep2"
"9",320000,2021,28800,"RCP85","Rep2"
"10",37085,2021,3337.65,"RCP85","Rep2"
"11",319076,2021,28716.84,"RCP85","Rep2"
"12",278896,2021,25100.64,"RCP85","Rep2"
"13",5490,2021,494.1,"RCP85","Rep2"
"0",5413056,2022,487175.04,"RCP85","Rep2"
"1",1713822,2022,154243.98,"RCP85","Rep2"
"2",167991,2022,15119.19,"RCP85","Rep2"
"3",571540,2022,51438.6,"RCP85","Rep2"
"4",211435,2022,19029.15,"RCP85","Rep2"
"6",269494,2022,24254.46,"RCP85","Rep2"
"7",66233,2022,5960.97,"RCP85","Rep2"
"8",153135,2022,13782.15,"RCP85","Rep2"
"9",318428,2022,28658.52,"RCP85","Rep2"
"10",36807,2022,3312.63,"RCP85","Rep2"
"11",313613,2022,28225.17,"RCP85","Rep2"
"12",278956,2022,25106.04,"RCP85","Rep2"
"13",5494,2022,494.46,"RCP85","Rep2"
"0",5412480,2023,487123.2,"RCP85","Rep2"
"1",1723473,2023,155112.57,"RCP85","Rep2"
"2",167192,2023,15047.28,"RCP85","Rep2"
"3",570817,2023,51373.53,"RCP85","Rep2"
"4",210403,2023,18936.27,"RCP85","Rep2"
"6",274925,2023,24743.25,"RCP85","Rep2"
"7",66245,2023,5962.05,"RCP85","Rep2"
"8",153132,2023,13781.88,"RCP85","Rep2"
"9",314263,2023,28283.67,"RCP85","Rep2"
"10",36535,2023,3288.15,"RCP85","Rep2"
"11",305975,2023,27537.75,"RCP85","Rep2"
