LandisData	"Dynamic Input Data"				
					
>>Year	Ecoregion	Species	ProbEst	MaxANPP	MaxB
>>____	_________	_______	_______	_______	____
0	2	ABIEBALS	0.842	441	13230
0	2	ACERPENS	0.987	1169	11690
0	2	ACERRUBR	0.384	943	28290
0	2	ACERSACC	0.879	1264	37920
0	2	BETUALLE	0.995	1167	35010
0	2	BETULENT	0.769	1167	35010
0	2	BETUPAPY	0.45	1218	36540
0	2	CARYCORD	0.417	1331	39930
0	2	CARYOVAT	0	1331	39930
0	2	FAGUGRAN	0.425	1062	31860
0	2	FRAXAMER	0.405	1083	32490
0	2	PICEABIE	0.901	272	13600
0	2	PICERUBE	0.901	280	14000
0	2	PINURESI	0.669	320	9600
0	2	PINUSTRO	0.916	959	28770
0	2	POPUGRAN	0.916	1369	41070
0	2	POPUTREM	0.901	1097	32910
0	2	PRUNPENS	0.9	1215	36450
0	2	PRUNSERO	0.46	1352	40560
0	2	QUERALBA	0.5	1268	38040
0	2	QUERRUBR	0.895	1015	30450
0	2	TILIAMER	0.75	1673	50190
0	2	TSUGCANA	0.837	408	12240
0	3	ABIEBALS	0.861	455	13650
0	3	ACERPENS	0.978	1165	11650
0	3	ACERRUBR	0.37	939	28170
0	3	ACERSACC	0.861	1259	37770
0	3	BETUALLE	0.998	1163	34890
0	3	BETULENT	0.741	1163	34890
0	3	BETUPAPY	0.493	1214	36420
0	3	CARYCORD	0.397	1325	39750
0	3	CARYOVAT	0	1325	39750
0	3	FAGUGRAN	0.408	1058	31740
0	3	FRAXAMER	0.39	1078	32340
0	3	PICEABIE	0.901	274	13700
0	3	PICERUBE	0.901	282	14100
0	3	PINURESI	0.723	318	9540
0	3	PINUSTRO	0.903	959	28770
0	3	POPUGRAN	0.902	1364	40920
0	3	POPUTREM	0.901	1092	32760
0	3	PRUNPENS	0.915	1210	36300
0	3	PRUNSERO	0.445	1348	40440
0	3	QUERALBA	0.484	1263	37890
0	3	QUERRUBR	0.882	1010	30300
0	3	TILIAMER	0.722	1668	50040
0	3	TSUGCANA	0.823	412	12360
0	4	ABIEBALS	0.869	466	13980
0	4	ACERPENS	0.972	1170	11700
0	4	ACERRUBR	0.363	944	28320
0	4	ACERSACC	0.85	1268	38040
0	4	BETUALLE	0.998	1169	35070
0	4	BETULENT	0.725	1169	35070
0	4	BETUPAPY	0.515	1222	36660
0	4	CARYCORD	0.387	1338	40140
0	4	CARYOVAT	0	1338	40140
0	4	FAGUGRAN	0.399	1063	31890
0	4	FRAXAMER	0.381	1084	32520
0	4	PICEABIE	0.901	280	14000
0	4	PICERUBE	0.901	288	14400
0	4	PINURESI	0.748	320	9600
0	4	PINUSTRO	0.895	964	28920
0	4	POPUGRAN	0.894	1374	41220
0	4	POPUTREM	0.901	1099	32970
0	4	PRUNPENS	0.922	1220	36600
0	4	PRUNSERO	0.437	1357	40710
0	4	QUERALBA	0.476	1272	38160
0	4	QUERRUBR	0.875	1016	30480
0	4	TILIAMER	0.707	1682	50460
0	4	TSUGCANA	0.815	421	12630
0	5	ABIEBALS	0.878	474	14220
0	5	ACERPENS	0.938	1175	11750
0	5	ACERRUBR	0.35	948	28440
0	5	ACERSACC	0.83	1276	38280
0	5	BETUALLE	0.994	1176	35280
0	5	BETULENT	0.695	1176	35280
0	5	BETUPAPY	0.551	1230	36900
0	5	CARYCORD	0.368	1351	40530
0	5	CARYOVAT	0.009	1351	40530
0	5	FAGUGRAN	0.375	1068	32040
0	5	FRAXAMER	0.366	1091	32730
0	5	PICEABIE	0.901	285	14250
0	5	PICERUBE	0.883	293	14650
0	5	PINURESI	0.787	322	9660
0	5	PINUSTRO	0.879	969	29070
0	5	POPUGRAN	0.879	1382	41460
0	5	POPUTREM	0.901	1106	33180
0	5	PRUNPENS	0.932	1229	36870
0	5	PRUNSERO	0.423	1366	40980
0	5	QUERALBA	0.461	1281	38430
0	5	QUERRUBR	0.861	1022	30660
0	5	TILIAMER	0.677	1695	50850
0	5	TSUGCANA	0.801	428	12840
0	7	ABIEBALS	0.898	524	15720
0	7	ACERPENS	0.851	1175	11750
0	7	ACERRUBR	0.283	946	28380
0	7	ACERSACC	0.72	1281	38430
0	7	BETUALLE	0.954	1178	35340
0	7	BETULENT	0.533	1178	35340
0	7	BETUPAPY	0.709	1234	37020
0	7	CARYCORD	0.271	1364	40920
0	7	CARYOVAT	0.003	1364	40920
0	7	FAGUGRAN	0.296	1068	32040
0	7	FRAXAMER	0.291	1091	32730
0	7	PICEABIE	0.892	316	15800
0	7	PICERUBE	0.883	324	16200
0	7	PINURESI	0.924	323	9690
0	7	PINUSTRO	0.794	979	29370
0	7	POPUGRAN	0.793	1390	41700
0	7	POPUTREM	0.9	1107	33210
0	7	PRUNPENS	0.973	1237	37110
0	7	PRUNSERO	0.353	1375	41250
0	7	QUERALBA	0.386	1288	38640
0	7	QUERRUBR	0.787	1022	30660
0	7	TILIAMER	0.518	1713	51390
0	7	TSUGCANA	0.725	471	14130
0	8	ABIEBALS	0.895	509	15270
0	8	ACERPENS	0.894	1178	11780
0	8	ACERRUBR	0.302	951	28530
0	8	ACERSACC	0.755	1287	38610
0	8	BETUALLE	0.971	1183	35490
0	8	BETULENT	0.583	1183	35490
0	8	BETUPAPY	0.67	1241	37230
0	8	CARYCORD	0.299	1374	41220
0	8	CARYOVAT	0.005	1374	41220
0	8	FAGUGRAN	0.323	1072	32160
0	8	FRAXAMER	0.313	1097	32910
0	8	PICEABIE	0.9	306	15300
0	8	PICERUBE	0.9	315	15750
0	8	PINURESI	0.899	323	9690
0	8	PINUSTRO	0.821	977	29310
0	8	POPUGRAN	0.82	1397	41910
0	8	POPUTREM	0.901	1114	33420
0	8	PRUNPENS	0.964	1246	37380
0	8	PRUNSERO	0.374	1382	41460
0	8	QUERALBA	0.408	1295	38850
0	8	QUERRUBR	0.81	1028	30840
0	8	TILIAMER	0.567	1721	51630
0	8	TSUGCANA	0.748	459	13770
0	11	ABIEBALS	0.901	562	16860
0	11	ACERPENS	0.664	1148	11480
0	11	ACERRUBR	0.204	918	27540
0	11	ACERSACC	0.568	1256	37680
0	11	BETUALLE	0.858	1152	34560
0	11	BETULENT	0.314	1152	34560
0	11	BETUPAPY	0.839	1208	36240
0	11	CARYCORD	0.154	1342	40260
0	11	CARYOVAT	0	1342	40260
0	11	FAGUGRAN	0.191	1041	31230
0	11	FRAXAMER	0.201	1064	31920
0	11	PICEABIE	0.827	339	16950
0	11	PICERUBE	0.794	346	17300
0	11	PINURESI	0.967	311	9330
0	11	PINUSTRO	0.674	966	28980
